id,author,created,updated,title,body,url,full_text,clean_text,sentiment_score
51527535,Benzinga Senior Editor,"Sat, 28 Mar 2026 08:31:51 -0400","Sat, 28 Mar 2026 08:31:52 -0400","Benzinga Bulls And Bears: Arm, Destiny Tech, Salesforce — And Nasdaq Enters Correction","(None, [])",https://www.benzinga.com/markets/market-summary/26/03/51527535/benzinga-bulls-and-bears-arm-destiny-tech-salesforce-and-nasdaq-enters-correction,"Benzinga Bulls And Bears: Arm, Destiny Tech, Salesforce — And Nasdaq Enters Correction (None, [])",benzinga bulls and bears arm destiny tech salesforce and nasdaq enters correction none,0.0
51526876,Mohd Haider,"Sat, 28 Mar 2026 00:01:04 -0400","Sat, 28 Mar 2026 02:59:53 -0400","Marco Rubio Says US-Iran War To End In 'Weeks, Not Months' And No Ground Troops Needed","(None, [])",https://www.benzinga.com/news/politics/26/03/51526876/marco-rubio-says-us-iran-war-to-end-in-weeks-not-months-and-no-ground-troops-needed,"Marco Rubio Says US-Iran War To End In 'Weeks, Not Months' And No Ground Troops Needed (None, [])",marco rubio says usiran war to end in weeks not months and no ground troops needed none,-0.461
51525990,Benzinga Insights,"Fri, 27 Mar 2026 19:00:55 -0400","Fri, 27 Mar 2026 19:00:56 -0400","If You Invested $100 In UnitedHealth Group Stock 15 Years Ago, You Would Have This Much Today","(None, [])",https://www.benzinga.com/insights/news/26/03/51525990/if-you-invested-100-in-unitedhealth-group-stock-15-years-ago-you-would-have-this-much-today,"If You Invested $100 In UnitedHealth Group Stock 15 Years Ago, You Would Have This Much Today (None, [])",if you invested in unitedhealth group stock years ago you would have this much today none,0.0
51524542,Caroline Ryan,"Fri, 27 Mar 2026 16:40:44 -0400","Fri, 27 Mar 2026 16:40:44 -0400",Oaktree To Fulfill All Redemption Requests In Its Private Credit Fund,"(None, [])",https://www.benzinga.com/markets/private-markets/26/03/51524542/oaktree-to-fulfill-all-redemption-requests-in-its-private-credit-fund,"Oaktree To Fulfill All Redemption Requests In Its Private Credit Fund (None, [])",oaktree to fulfill all redemption requests in its private credit fund none,0.6705
51521443,Benzinga Newsdesk,"Fri, 27 Mar 2026 15:08:29 -0400","Fri, 27 Mar 2026 15:08:30 -0400",Shares of restaurant companies are trading lower as concerns about overall inflation and consumer pressures dampen sentiment around the sector.,"(None, [])",https://www.benzinga.com/wiim/26/03/51521443/shares-of-restaurant-companies-are-trading-lower-as-concerns-about-overall-inflation-and-consumer-pr,"Shares of restaurant companies are trading lower as concerns about overall inflation and consumer pressures dampen sentiment around the sector. (None, [])",shares of restaurant companies are trading lower as concerns about overall inflation and consumer pressures dampen sentiment around the sector none,-0.3182
51520554,Chris Katje,"Fri, 27 Mar 2026 14:37:11 -0400","Fri, 27 Mar 2026 14:37:12 -0400","Republican Representative Backs Iran War, Then Cashes Out Chevron Stock At All-Time High","(None, [])",https://www.benzinga.com/news/politics/26/03/51520554/republican-representative-backs-iran-war-cashes-out-chevron-stock-at-all-time-high,"Republican Representative Backs Iran War, Then Cashes Out Chevron Stock At All-Time High (None, [])",republican representative backs iran war then cashes out chevron stock at alltime high none,-0.6249
51519800,The Arora Report,"Fri, 27 Mar 2026 14:16:23 -0400","Fri, 27 Mar 2026 14:17:41 -0400",Is Trump's Deadline Extension A Red Flag? China Strikes At A Preoccupied US; Turkey Sells Gold,"(None, [])",https://www.benzinga.com/Opinion/26/03/51519800/is-trump-deadline-extension-a-red-flag-china-strikes-at-a-preoccupied-us-turkey-sells-gold,"Is Trump's Deadline Extension A Red Flag? China Strikes At A Preoccupied US; Turkey Sells Gold (None, [])",is trumps deadline extension a red flag china strikes at a preoccupied us turkey sells gold none,-0.3612
51519154,Daragh Thomas,"Fri, 27 Mar 2026 13:57:30 -0400","Fri, 27 Mar 2026 13:57:31 -0400",Dow Dives Into Correction As Chance Of Rate Hike Spikes: What Do Prediction Markets Think?,"(None, [])",https://www.benzinga.com/markets/prediction-markets/26/03/51519154/dow-dives-into-correction-as-chance-of-rate-hike-spikes-what-do-prediction-markets-think,"Dow Dives Into Correction As Chance Of Rate Hike Spikes: What Do Prediction Markets Think? (None, [])",dow dives into correction as chance of rate hike spikes what do prediction markets think none,0.25
51518595,Benzinga Newsdesk,"Fri, 27 Mar 2026 13:45:31 -0400","Fri, 27 Mar 2026 13:45:32 -0400",'Apple Says It Has Hired Ex-Google Executive Lilian Rincon As The Vice President Of Product Marketing For AI Amid Push To Improve Siri' - Reuters News,"(None, [])",https://www.benzinga.com/news/26/03/51518595/apple-says-it-has-hired-ex-google-executive-lilian-rincon-as-the-vice-president-of-product-marketing,"'Apple Says It Has Hired Ex-Google Executive Lilian Rincon As The Vice President Of Product Marketing For AI Amid Push To Improve Siri' - Reuters News (None, [])",apple says it has hired exgoogle executive lilian rincon as the vice president of product marketing for ai amid push to improve siri reuters news none,0.4404
51518276,Benzinga Insights,"Fri, 27 Mar 2026 13:35:26 -0400","Fri, 27 Mar 2026 13:35:26 -0400",9 Communication Services Stocks With Whale Alerts In Today's Session,"(None, [])",https://www.benzinga.com/insights/options/26/03/51518276/9-communication-services-stocks-with-whale-alerts-in-todays-session,"9 Communication Services Stocks With Whale Alerts In Today's Session (None, [])",communication services stocks with whale alerts in todays session none,0.0
51518270,Benzinga Insights,"Fri, 27 Mar 2026 13:35:21 -0400","Fri, 27 Mar 2026 13:35:22 -0400",10 Consumer Discretionary Stocks With Whale Alerts In Today's Session,"(None, [])",https://www.benzinga.com/insights/options/26/03/51518270/10-consumer-discretionary-stocks-with-whale-alerts-in-todays-session,"10 Consumer Discretionary Stocks With Whale Alerts In Today's Session (None, [])",consumer discretionary stocks with whale alerts in todays session none,0.0
51517802,Anusuya Lahiri,"Fri, 27 Mar 2026 13:22:07 -0400","Fri, 27 Mar 2026 13:22:08 -0400",Semiconductor Chip Stocks Slump As Middle East War Hits Day 28: Trump Sets New Deadline,"(None, [])",https://www.benzinga.com/markets/tech/26/03/51517802/semiconductor-chip-stocks-slump-as-middle-east-war-hits-day-28-trump-sets-new-deadline,"Semiconductor Chip Stocks Slump As Middle East War Hits Day 28: Trump Sets New Deadline (None, [])",semiconductor chip stocks slump as middle east war hits day trump sets new deadline none,-0.5994
51517277,Benzinga Newsdesk,"Fri, 27 Mar 2026 13:10:02 -0400","Fri, 27 Mar 2026 13:10:03 -0400","President Trump Promises Lower Costs For Tractors, 'Cutting Out A Massive Amount Of Nonsense' For Farm Equipment; Says He Will Seek Congressional Action To Secure Year-Round Sales Of E15 Motor Fuel","(None, [])",https://www.benzinga.com/economics/macro-economic-events/26/03/51517277/president-trump-promises-lower-costs-for-tractors-cutting-out-a-massive-amount-of,"President Trump Promises Lower Costs For Tractors, 'Cutting Out A Massive Amount Of Nonsense' For Farm Equipment; Says He Will Seek Congressional Action To Secure Year-Round Sales Of E15 Motor Fuel (None, [])",president trump promises lower costs for tractors cutting out a massive amount of nonsense for farm equipment says he will seek congressional action to secure yearround sales of e motor fuel none,-0.1027
51517251,Benzinga Newsdesk,"Fri, 27 Mar 2026 13:08:56 -0400","Fri, 27 Mar 2026 13:08:57 -0400","President Trump Says Want John Deere, Caterpillar To Give Farmers Lower Tractor And Equipment Costs","(None, [])",https://www.benzinga.com/economics/macro-economic-events/26/03/51517251/president-trump-says-want-john-deere-caterpillar-to-give-farmers-lower-tractor-an,"President Trump Says Want John Deere, Caterpillar To Give Farmers Lower Tractor And Equipment Costs (None, [])",president trump says want john deere caterpillar to give farmers lower tractor and equipment costs none,-0.2263
51516828,Benzinga Newsdesk,"Fri, 27 Mar 2026 13:00:45 -0400","Fri, 27 Mar 2026 13:00:46 -0400","CNBC Halftime Report Final Trades: Vistra, Caterpillar, Citigroup, Target","(None, [])",https://www.benzinga.com/analyst-ratings/26/03/51516828/cnbc-halftime-report-final-trades-vistra-caterpillar-citigroup-target,"CNBC Halftime Report Final Trades: Vistra, Caterpillar, Citigroup, Target (None, [])",cnbc halftime report final trades vistra caterpillar citigroup target none,0.0
51516506,Surbhi Jain,"Fri, 27 Mar 2026 12:52:26 -0400","Fri, 27 Mar 2026 12:52:27 -0400","Meta, Amazon And Big Tech Is Driving A $140 Billion AI Debt Tsunami Spooking Wall Street—JPMorgan Just Stepped In","(None, [])",https://www.benzinga.com/markets/tech/26/03/51516506/meta-amazon-and-big-tech-is-driving-a-140-billion-ai-debt-tsunami-spooking-wall-street-jpmorgan-just-stepped-in,"Meta, Amazon And Big Tech Is Driving A $140 Billion AI Debt Tsunami Spooking Wall Street—JPMorgan Just Stepped In (None, [])",meta amazon and big tech is driving a billion ai debt tsunami spooking wall streetjpmorgan just stepped in none,-0.2023
51515951,Benzinga Newsdesk,"Fri, 27 Mar 2026 12:38:57 -0400","Fri, 27 Mar 2026 12:38:58 -0400","Shares of cybersecurity-related firms are trading lower following reports suggesting that Anthropic's Claude Mythos AI tool may find and exploit software inconsistencies, leaving the sector in need of new investment and products.","(None, [])",https://www.benzinga.com/wiim/26/03/51515951/shares-of-cybersecurity-related-firms-are-trading-lower-following-reports-suggesting-that-anthropics,"Shares of cybersecurity-related firms are trading lower following reports suggesting that Anthropic's Claude Mythos AI tool may find and exploit software inconsistencies, leaving the sector in need of new investment and products. (None, [])",shares of cybersecurityrelated firms are trading lower following reports suggesting that anthropics claude mythos ai tool may find and exploit software inconsistencies leaving the sector in need of new investment and products none,-0.1027
51515493,Benzinga Research Team,"Fri, 27 Mar 2026 12:26:41 -0400","Fri, 27 Mar 2026 12:26:42 -0400",3 Dividend Stocks With Robust Yields For Tough Times,"(None, [])",https://www.benzinga.com/trading-ideas/dividends/26/03/51515493/3-dividend-stocks-with-robust-yields-for-tough-times,"3 Dividend Stocks With Robust Yields For Tough Times (None, [])",dividend stocks with robust yields for tough times none,0.2263
51514072,Anusuya Lahiri,"Fri, 27 Mar 2026 11:48:04 -0400","Fri, 27 Mar 2026 11:49:38 -0400",$40 Billion Loan: SoftBank Reloads To Chase OpenAI Gold Rush,"SoftBank Group Corp. (OTC:SFTBY) (OTC:SFTBF) said Friday it has secured a $40 billion bridge loan to fund investments in ChatGPT maker OpenAI and support general corporate needs, underscoring its deepening push into artificial intelligence.    SoftBank said the unsecured loan will mature in March 2027. It was arranged with lenders including JPMorgan Chase, Goldman Sachs, Mizuho Bank, Sumitomo Mitsui Banking Corp, and MUFG Bank.    The company said borrowings under the Bridge Facility Agreement are expected to be repaid in phases by the maturity date, using a combination of existing assets and additional financing.    OpenAI Growth and Emerging Risks    Against this backdrop of rising investment and expanding partnerships, OpenAI is also flagging potential risks tied to its current operating model.    The company warned investors that its heavy dependence on Microsoft Corp. (NASDAQ:MSFT) for ""a substantial portion of our financing and compute"" could pose a business risk, according to a document tied to its latest funding round.    As OpenAI scales rapidly, the concentration of infrastructure and funding with a single partner is becoming a key consideration. The company, which recently secured $110 billion in funding and is seeking an additional $10 billion, said its future performance depends on diversifying partners beyond Microsoft.    OpenAI also cited rising compute costs, potential chip supply disruptions, and ongoing litigation as key risks, offering a preview of disclosures ahead of a possible IPO.    Despite these concerns, growth remains strong. OpenAI has surpassed $25 billion in annualized revenue as of last month, up from $21.4 billion a year earlier, according to a recent report. However, the company continues to face heavy spending, with compute costs projected to reach about $600 billion through 2030.    Image via Shutterstock",https://www.benzinga.com/markets/tech/26/03/51514072/40-billion-softbank-reloads-to-chase-openai-gold-rush,"$40 Billion Loan: SoftBank Reloads To Chase OpenAI Gold Rush SoftBank Group Corp. (OTC:SFTBY) (OTC:SFTBF) said Friday it has secured a $40 billion bridge loan to fund investments in ChatGPT maker OpenAI and support general corporate needs, underscoring its deepening push into artificial intelligence.    SoftBank said the unsecured loan will mature in March 2027. It was arranged with lenders including JPMorgan Chase, Goldman Sachs, Mizuho Bank, Sumitomo Mitsui Banking Corp, and MUFG Bank.    The company said borrowings under the Bridge Facility Agreement are expected to be repaid in phases by the maturity date, using a combination of existing assets and additional financing.    OpenAI Growth and Emerging Risks    Against this backdrop of rising investment and expanding partnerships, OpenAI is also flagging potential risks tied to its current operating model.    The company warned investors that its heavy dependence on Microsoft Corp. (NASDAQ:MSFT) for ""a substantial portion of our financing and compute"" could pose a business risk, according to a document tied to its latest funding round.    As OpenAI scales rapidly, the concentration of infrastructure and funding with a single partner is becoming a key consideration. The company, which recently secured $110 billion in funding and is seeking an additional $10 billion, said its future performance depends on diversifying partners beyond Microsoft.    OpenAI also cited rising compute costs, potential chip supply disruptions, and ongoing litigation as key risks, offering a preview of disclosures ahead of a possible IPO.    Despite these concerns, growth remains strong. OpenAI has surpassed $25 billion in annualized revenue as of last month, up from $21.4 billion a year earlier, according to a recent report. However, the company continues to face heavy spending, with compute costs projected to reach about $600 billion through 2030.    Image via Shutterstock",billion loan softbank reloads to chase openai gold rush softbank group corp otcsftby otcsftbf said friday it has secured a billion bridge loan to fund investments in chatgpt maker openai and support general corporate needs underscoring its deepening push into artificial intelligence softbank said the unsecured loan will mature in march it was arranged with lenders including jpmorgan chase goldman sachs mizuho bank sumitomo mitsui banking corp and mufg bank the company said borrowings under the bridge facility agreement are expected to be repaid in phases by the maturity date using a combination of existing assets and additional financing openai growth and emerging risks against this backdrop of rising investment and expanding partnerships openai is also flagging potential risks tied to its current operating model the company warned investors that its heavy dependence on microsoft corp nasdaqmsft for a substantial portion of our financing and compute could pose a business risk according to a document tied to its latest funding round as openai scales rapidly the concentration of infrastructure and funding with a single partner is becoming a key consideration the company which recently secured billion in funding and is seeking an additional billion said its future performance depends on diversifying partners beyond microsoft openai also cited rising compute costs potential chip supply disruptions and ongoing litigation as key risks offering a preview of disclosures ahead of a possible ipo despite these concerns growth remains strong openai has surpassed billion in annualized revenue as of last month up from billion a year earlier according to a recent report however the company continues to face heavy spending with compute costs projected to reach about billion through image via shutterstock,0.9186
51513827,Benzinga Newsdesk,"Fri, 27 Mar 2026 11:42:12 -0400","Fri, 27 Mar 2026 11:42:12 -0400","Morgan Stanley Maintains Overweight on Chevron, Raises Price Target to $212","Never miss a trade again with the fastest news alerts in the world!           This headline only article is a sample of real-time intelligence           Benzinga Pro traders use to win in the markets everyday.           Want the fastest, most accurate stock market intelligence? Want EXCLUSIVE stories originated by Benzinga reporters?           Join 10,000+ serious traders in the Benzinga Pro community!",https://www.benzinga.com/news/26/03/51513827/morgan-stanley-maintains-overweight-on-chevron-raises-price-target-to-212,"Morgan Stanley Maintains Overweight on Chevron, Raises Price Target to $212 Never miss a trade again with the fastest news alerts in the world!           This headline only article is a sample of real-time intelligence           Benzinga Pro traders use to win in the markets everyday.           Want the fastest, most accurate stock market intelligence? Want EXCLUSIVE stories originated by Benzinga reporters?           Join 10,000+ serious traders in the Benzinga Pro community!",morgan stanley maintains overweight on chevron raises price target to never miss a trade again with the fastest news alerts in the world this headline only article is a sample of realtime intelligence benzinga pro traders use to win in the markets everyday want the fastest most accurate stock market intelligence want exclusive stories originated by benzinga reporters join serious traders in the benzinga pro community,0.8989
51512435,Chris Katje,"Fri, 27 Mar 2026 11:13:40 -0400","Fri, 27 Mar 2026 11:13:40 -0400",Netflix Raises Prices: How Much You'll Pay Monthly For Major Streaming Platforms,"(None, [])",https://www.benzinga.com/news/entertainment/26/03/51512435/netflix-prices-streaming-cost-major-platforms-how-much-you-will-pay-monthly,"Netflix Raises Prices: How Much You'll Pay Monthly For Major Streaming Platforms (None, [])",netflix raises prices how much youll pay monthly for major streaming platforms none,-0.1027
51510245,Piero Cingari,"Fri, 27 Mar 2026 10:32:51 -0400","Fri, 27 Mar 2026 10:32:51 -0400",Micron Stock's Rally Looked Unstoppable — Until Google's TurboQuant Hit,"(None, [])",https://www.benzinga.com/analyst-stock-ratings/analyst-color/26/03/51510245/micron-stock-turboquant-google-capex-memory-selloff-2026,"Micron Stock's Rally Looked Unstoppable — Until Google's TurboQuant Hit (None, [])",micron stocks rally looked unstoppable until googles turboquant hit none,-0.2023
51509501,RIPS,"Fri, 27 Mar 2026 10:17:14 -0400","Fri, 27 Mar 2026 10:17:15 -0400","How To Trade SPY, QQQ, AAPL, MSFT, NVDA, GOOGL, META, TSLA Using Technical Analysis","(None, [])",https://www.benzinga.com/Opinion/26/03/51509501/how-to-trade-spy-qqq-aapl-msft-nvda-googl-meta-tsla-using-technical-analysis-58,"How To Trade SPY, QQQ, AAPL, MSFT, NVDA, GOOGL, META, TSLA Using Technical Analysis (None, [])",how to trade spy qqq aapl msft nvda googl meta tsla using technical analysis none,0.0
51509217,Anusuya Lahiri,"Fri, 27 Mar 2026 10:10:28 -0400","Fri, 27 Mar 2026 10:12:29 -0400",Apple Drops Six Figure Bonuses To Stop iPhone Talent Exodus,"(None, [])",https://www.benzinga.com/markets/tech/26/03/51509217/apple-drops-six-figure-bonuses-to-stop-iphone-talent-exodus,"Apple Drops Six Figure Bonuses To Stop iPhone Talent Exodus (None, [])",apple drops six figure bonuses to stop iphone talent exodus none,0.6369
51508896,Benzinga Newsdesk,"Fri, 27 Mar 2026 10:03:13 -0400","Fri, 27 Mar 2026 10:03:14 -0400","'Microsoft Rents Data Center Project Developed for Oracle, OpenAI'- Bloomberg","(None, [])",https://www.benzinga.com/news/26/03/51508896/microsoft-rents-data-center-project-developed-for-oracle-openai-bloomberg,"'Microsoft Rents Data Center Project Developed for Oracle, OpenAI'- Bloomberg (None, [])",microsoft rents data center project developed for oracle openai bloomberg none,0.0
